NumPoints = 19635
X = 0.726249; Y = 0.561703
X = 0.735819; Y = 0.562072
X = 0.731781; Y = 0.555963
X = 0.73103; Y = 0.570345
X = 0.722858; Y = 0.569287
X = 0.723948; Y = 0.554414
X = 0.721455; Y = 0.559283
X = 0.717439; Y = 0.562941
X = 0.71935; Y = 0.550823
X = 0.72489; Y = 0.546234
X = 0.716294; Y = 0.556288
X = 0.728008; Y = 0.550959
X = 0.716165; Y = 0.569525
X = 0.715807; Y = 0.575834
X = 0.721708; Y = 0.57577
X = 0.728309; Y = 0.575127
X = 0.735831; Y = 0.568886
X = 0.722542; Y = 0.582665
X = 0.733669; Y = 0.577791
X = 0.730398; Y = 0.582949
X = 0.73659; Y = 0.585513
X = 0.722122; Y = 0.588398
X = 0.728233; Y = 0.588675
X = 0.733216; Y = 0.589718
X = 0.710659; Y = 0.568598
X = 0.713685; Y = 0.580521
X = 0.709987; Y = 0.576361
X = 0.731097; Y = 0.596201
X = 0.741189; Y = 0.592694
X = 0.742173; Y = 0.587465
X = 0.724728; Y = 0.593967
X = 0.741951; Y = 0.581684
X = 0.737215; Y = 0.553939
X = 0.731773; Y = 0.54697
X = 0.737099; Y = 0.548734
X = 0.704065; Y = 0.572463
X = 0.708927; Y = 0.582441
X = 0.713897; Y = 0.54348
X = 0.741126; Y = 0.542878
X = 0.743572; Y = 0.556049
X = 0.746341; Y = 0.548595
X = 0.734916; Y = 0.542818
X = 0.728956; Y = 0.536545
X = 0.736514; Y = 0.536301
X = 0.752444; Y = 0.541092
X = 0.755557; Y = 0.548447
X = 0.745305; Y = 0.539328
X = 0.749882; Y = 0.552357
X = 0.741483; Y = 0.573182
X = 0.746982; Y = 0.577018
X = 0.747473; Y = 0.586316
X = 0.751188; Y = 0.580737
X = 0.700725; Y = 0.566737
X = 0.706577; Y = 0.563849
X = 0.700473; Y = 0.578705
X = 0.698121; Y = 0.572403
X = 0.750278; Y = 0.592968
X = 0.745482; Y = 0.596721
X = 0.728002; Y = 0.541914
X = 0.734101; Y = 0.531266
X = 0.744343; Y = 0.530512
X = 0.693394; Y = 0.568597
X = 0.690418; Y = 0.575427
X = 0.710295; Y = 0.550552
X = 0.709267; Y = 0.555561
X = 0.711634; Y = 0.560828
X = 0.749757; Y = 0.600711
X = 0.756312; Y = 0.591093
X = 0.755282; Y = 0.586158
X = 0.756197; Y = 0.596126
X = 0.75443; Y = 0.55607
X = 0.749783; Y = 0.561379
X = 0.75102; Y = 0.545997
X = 0.764303; Y = 0.595979
X = 0.765107; Y = 0.589942
X = 0.761986; Y = 0.585037
X = 0.741976; Y = 0.53536
X = 0.703525; Y = 0.554242
X = 0.705394; Y = 0.547736
X = 0.699268; Y = 0.560755
X = 0.712257; Y = 0.586818
X = 0.719047; Y = 0.592855
X = 0.730692; Y = 0.564826
X = 0.688726; Y = 0.565553
X = 0.692959; Y = 0.56231
X = 0.685573; Y = 0.570371
X = 0.74998; Y = 0.571334
X = 0.75595; Y = 0.575392
X = 0.758549; Y = 0.561916
X = 0.762119; Y = 0.557874
X = 0.752946; Y = 0.565871
X = 0.744463; Y = 0.56605
X = 0.759197; Y = 0.569684
X = 0.740759; Y = 0.560809
X = 0.692234; Y = 0.555015
X = 0.697393; Y = 0.554589
X = 0.693173; Y = 0.582045
X = 0.697434; Y = 0.585767
X = 0.703254; Y = 0.587542
